Review_date,Reviewer_name,Review_title,Review_description,Rating
"May 13, 2021",WalmartCustomer,Value for money,One plastic container was crunched and leaked solution inside the box.,2.0
"August 3, 2021",Vicki,"Clorox Disinfecting Wipes,(225 Count Pack)","The box this item was delivered in was wet!! When I opened the box my order was leaking wet liquid. My church is collecting needed supplies for a local public school and this order was something that was requested to donate to the school. But I cannot donate this item that included (3) containers of Clorox Disinfecting Wipes because of the leakage and not sealed properly. The containers are wet and the labels on the containers are peeling off because they are wet from the leakage,which makes them look like they were opened and used. This is very disappointing but it appears that they were packaged good and tight and should not have leaked. I dont know how the leakage could have been prevented but I ask you to investigate to see if it could be fixed and so it could be prevented possibly for the future customers. Thanks so much for investigating and correcting if possible!",1.0
"August 3, 2021",Mark,Thank you!,This is good price and great product!,5.0
"August 2, 2021",James,Null,Whatever liquid thats not absorbed in the towels will leak out during shipping. Other than that great product,2.0
"August 1, 2021",Ro,Null,"Love these, very easy to use",5.0
"August 1, 2021",Maryellen,Protecting those you love.,Very confident in using these wipes on surfaces. With viruses you can never be to safe in protecting those you love.,5.0
"July 31, 2021",Miriam,Null,They are early in more days. Thank you.,5.0
"July 31, 2021",Susan,Always the best,Why wouldn't anyone like this item? Especially now.,5.0
"July 30, 2021",adrienne,Very nice deal reasonably priced,Such a good deal love being stocked up,5.0
"July 30, 2021",Ghaziani,Null,These are very good for class rooms.,5.0
"July 30, 2021",Jessica,Null,I like these Clorox wipes for cleaning the bathroom. And they are requested on daughters school supply list.,5.0
"July 28, 2021",Alicia,Hands Down The Best Wipe Ever!,Clorox products are always the best choice. No strong scent. No irritants. Highly recommend,5.0
"July 28, 2021",Fiesta,Null,Nothing like Clorox products,5.0
"July 27, 2021",June,I'll need a refund. It's got to be our hot temps?,all the liquid was drained out of all three containers and the paper was peeling off the sides of each of them by the time and took the outer plastic off. They must have tipped inside of the box or got too hot inside the truck or something. I'm not sure.,1.0
"July 27, 2021",Nene,The real deal,The real deal. Its effective,5.0
"July 26, 2021",kathleen,Excellent,"Great price, product and service",5.0
"July 26, 2021",Mallazine,Highly recommend,Cleans hard to clean surfaces,5.0
"July 25, 2021",sarahleeanns,This is a must,This is a must have in any house hold! They work amazing and keep all those unwanted nasty germs away! They also smell soooo clean!,5.0
"July 24, 2021",Anna,Null,Great price for the product,5.0
"July 24, 2021",WalmartCustomer,Null,"Stock up now, round 2 will be starting soon",5.0
"August 3, 2021",Goodeat,Null,One plastic container was crunched and leaked solution inside the box.,2.0
"August 3, 2021",Vicki,"Clorox Disinfecting Wipes,(225 Count Pack)","Love these, easy disinfecting and clean ups",5.0
"July 23, 2021",t,clorox the wonder product for many uses,"love clrox wipes/clorox products keeps everthing smelling fresh/clean comes in bulk pgk,different fragances at resoniuble price",5.0
"July 23, 2021",Joyce,Null,All three packs of wipes leaked and the outsides of the containers were so wet that the lablels were coming off.,1.0
"July 23, 2021",Linda,Null,This a good buy did feel like going out that week in because weather reason Im the house have everything at hand an a good buy,5.0
"July 23, 2021",Maggy74,Null,Ive used these before and they work for me.great,5.0
"July 22, 2021",Me,Null,"goid deal though inflation has upped everything, speedy shipment.",5.0
"July 22, 2021",roseyg9493,Love this product! Love,"Love this product! Love the scent, the packaging, the ease of use. My husband uses them all the time. They have a nice texture and wipe away the mess all at once! Definitely recommend!",5.0
"July 22, 2021",Ester,Finally in stock,Love anything Clorox use products all the time for years. Since Covid shortage,5.0
